id,length (px),length (um),chains,chain lengths (px),chain lengths (um),img
0,18.071067811865476,3.072081528017131,2,"[3.828427124746191, 14.242640687119284]",[0.65083261 2.42124892],1
1,56.87005768508879,9.667909806465095,2,"[23.727922061357845, 33.142135623730944]",[4.03374675 5.63416306],1
2,50.87005768508887,8.647909806465108,1,[50.87005768508887],[8.64790981],1
3,19.970562748477132,3.394995667241113,2,"[2.8284271247461907, 17.14213562373094]",[0.48083261 2.91416306],1
4,35.97056274847714,6.114995667241114,1,[35.97056274847714],[6.11499567],1
5,51.94112549695424,8.829991334482221,2,"[30.213203435596398, 21.72792206135784]",[5.13624458 3.69374675],1
6,29.55634918610403,5.024579361637685,2,"[17.31370849898475, 12.242640687119282]",[2.94333044 2.08124892],1
7,44.384776310850214,7.545411972844537,2,"[33.55634918610403, 10.828427124746186]",[5.70457936 1.84083261],1
8,41.52691193458115,7.059575028878796,2,"[16.14213562373094, 25.384776310850214]",[2.74416306 4.31541197],1
9,56.0416305603426,9.527077195258242,2,"[33.556349186104036, 22.48528137423856]",[5.70457936 3.82249783],1
10,38.0416305603426,6.467077195258242,2,"[19.72792206135784, 18.313708498984752]",[3.35374675 3.11333044],1
11,15.899494936611658,2.702914139223982,1,[15.899494936611658],[2.70291414],1
12,28.89949493661166,4.912914139223982,2,"[8.656854249492381, 20.24264068711928]",[1.47166522 3.44124892],1
13,34.6274169979695,5.886660889654815,2,"[25.798989873223306, 8.82842712474619]",[4.38582828 1.50083261],1
14,24.899494936611653,4.232914139223982,1,[24.899494936611653],[4.23291414],1
15,23.142135623730933,3.934163056034259,1,[23.142135623730933],[3.93416306],1
16,37.6274169979695,6.396660889654815,2,"[7.2426406871192865, 30.38477631085021]",[1.23124892 5.16541197],1
17,38.97056274847712,6.624995667241111,2,"[23.142135623730933, 15.828427124746186]",[3.93416306 2.69083261],1
0,55.112698372208186,9.369158723275392,1,[55.112698372208186],[9.36915872],2
1,43.14213562373094,7.33416305603426,3,"[22.07106781186547, 14.656854249492376, 6.414213562373096]",[3.75208153 2.49166522 1.09041631],2
2,2.4142135623730954,0.41041630560342623,1,[2.4142135623730954],[0.41041631],2
3,32.09188309203676,5.4556201256462495,1,[32.09188309203676],[5.45562013],2
4,24.31370849898475,4.133330444827408,1,[24.31370849898475],[4.13333044],2
5,29.79898987322331,5.065828278447963,1,[29.79898987322331],[5.06582828],2
6,88.11269837220821,14.979158723275397,2,"[73.45584412271583, 14.656854249492378]",[12.4874935   2.49166522],2
7,25.142135623730933,4.274163056034259,1,[25.142135623730933],[4.27416306],2
8,19.313708498984745,3.2833304448274068,1,[19.313708498984745],[3.28333044],2
9,49.627416997969505,8.436660889654817,3,"[7.656854249492382, 19.071067811865465, 22.899494936611653]",[1.30166522 3.24208153 3.89291414],2
10,16.14213562373094,2.7441630560342603,1,[16.14213562373094],[2.74416306],2
11,22.142135623730933,3.764163056034259,1,[22.142135623730933],[3.76416306],2
12,21.24264068711928,3.6112489168102777,2,"[19.828427124746185, 1.4142135623730951]",[3.37083261 0.24041631],2
13,54.698484809834994,9.29874241767195,2,"[34.798989873223334, 19.899494936611656]",[5.91582828 3.38291414],2
14,47.64823227814078,8.100199487283934,2,"[19.55634918610403, 28.091883092036756]",[3.32457936 4.77562013],2
15,44.76955262170054,7.610823945689092,1,[44.76955262170054],[7.61082395],2
16,50.94112549695426,8.659991334482225,3,"[18.899494936611656, 14.899494936611658, 17.14213562373094]",[3.21291414 2.53291414 2.91416306],2
17,15.899494936611658,2.702914139223982,1,[15.899494936611658],[2.70291414],2
18,44.69848480983502,7.5987424176719545,1,[44.69848480983502],[7.59874242],2
